Serial_number:
2020431
Project ID:

Location:
AcrossFromLake_Lower
AcrossFromLake_Lower
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,AcrossFromLake_Lower,TEMPERATURE
11/24/2022,03:30:00 am,0,69.6547,6.753
11/24/2022,03:45:00 am,0,69.6520,6.753
11/24/2022,04:00:00 am,0,69.6512,6.753
11/24/2022,04:15:00 am,0,69.6585,6.753
11/24/2022,04:30:00 am,0,69.6586,6.754
11/24/2022,04:45:00 am,0,69.6636,6.754
11/24/2022,05:00:00 am,0,69.6677,6.754
11/24/2022,05:15:00 am,0,69.6705,6.754
11/24/2022,05:30:00 am,0,69.6803,6.754
11/24/2022,05:45:00 am,0,69.6911,6.755
11/24/2022,06:00:00 am,0,69.6964,6.754
11/24/2022,06:15:00 am,0,69.7098,6.755
11/24/2022,06:30:00 am,0,69.7181,6.754
11/24/2022,06:45:00 am,0,69.7243,6.755
11/24/2022,07:00:00 am,0,69.7378,6.755
11/24/2022,07:15:00 am,0,69.7556,6.755
11/24/2022,07:30:00 am,0,69.7725,6.755
11/24/2022,07:45:00 am,0,69.7871,6.756
11/24/2022,08:00:00 am,0,69.7980,6.756
11/24/2022,08:15:00 am,0,69.8170,6.756
11/24/2022,08:30:00 am,0,69.8286,6.756
11/24/2022,08:45:00 am,0,69.8384,6.756
11/24/2022,09:00:00 am,0,69.8426,6.757
11/24/2022,09:15:00 am,0,69.8468,6.757
11/24/2022,09:30:00 am,0,69.8467,6.757
11/24/2022,09:45:00 am,0,69.8461,6.757
11/24/2022,10:00:00 am,0,69.8411,6.757
11/24/2022,10:15:00 am,0,69.8307,6.757
11/24/2022,10:30:00 am,0,69.8178,6.758
11/24/2022,10:45:00 am,0,69.8125,6.758
11/24/2022,11:00:00 am,0,69.8101,6.757
11/24/2022,11:15:00 am,0,69.8024,6.758
11/24/2022,11:30:00 am,0,69.7906,6.758
11/24/2022,11:45:00 am,0,69.7770,6.759
11/24/2022,12:00:00 pm,0,69.7588,6.758
11/24/2022,12:15:00 pm,0,69.7504,6.758
11/24/2022,12:30:00 pm,0,69.7354,6.759
11/24/2022,12:45:00 pm,0,69.7195,6.758
11/24/2022,01:00:00 pm,0,69.7104,6.758
11/24/2022,01:15:00 pm,0,69.6940,6.759
11/24/2022,01:30:00 pm,0,69.6622,6.759
11/24/2022,01:45:00 pm,0,69.6547,6.760
11/24/2022,02:00:00 pm,0,69.6353,6.760
11/24/2022,02:15:00 pm,0,69.6220,6.759
11/24/2022,02:30:00 pm,0,69.6131,6.759
11/24/2022,02:45:00 pm,0,69.5962,6.759
11/24/2022,03:00:00 pm,0,69.5774,6.760
11/24/2022,03:15:00 pm,0,69.5628,6.760
11/24/2022,03:30:00 pm,0,69.5673,6.760
11/24/2022,03:45:00 pm,0,69.5619,6.760
11/24/2022,04:00:00 pm,0,69.5561,6.760
11/24/2022,04:15:00 pm,0,69.5559,6.760
11/24/2022,04:30:00 pm,0,69.5542,6.760
11/24/2022,04:45:00 pm,0,69.5539,6.761
11/24/2022,05:00:00 pm,0,69.5679,6.761
11/24/2022,05:15:00 pm,0,69.6097,6.760
11/24/2022,05:30:00 pm,0,69.6317,6.761
11/24/2022,05:45:00 pm,0,69.6410,6.761
11/24/2022,06:00:00 pm,0,69.6524,6.761
11/24/2022,06:15:00 pm,0,69.6575,6.761
11/24/2022,06:30:00 pm,0,69.6710,6.762
11/24/2022,06:45:00 pm,0,69.6778,6.761
11/24/2022,07:00:00 pm,0,69.7053,6.761
11/24/2022,07:15:00 pm,0,69.7152,6.762
11/24/2022,07:30:00 pm,0,69.7327,6.762
11/24/2022,07:45:00 pm,0,69.7430,6.762
11/24/2022,08:00:00 pm,0,69.7638,6.762
11/24/2022,08:15:00 pm,0,69.7635,6.762
11/24/2022,08:30:00 pm,0,69.7640,6.762
11/24/2022,08:45:00 pm,0,69.7850,6.763
11/24/2022,09:00:00 pm,0,69.8060,6.762
11/24/2022,09:15:00 pm,0,69.8130,6.763
11/24/2022,09:30:00 pm,0,69.8162,6.763
11/24/2022,09:45:00 pm,0,69.8189,6.763
